respondent_id,age_group,gender,occupation,monthly_income,region,current_smartphone_brand,current_phone_spend,smartphone_replacement_frequency,typical_smartphone_budget,purchase_channel,price_importance,brand_reputation,performance_importance,camera_importance,battery_importance,storage_importance,display_importance,design_importance,online_reviews_importance,recommendations_importance,discounts_importance,after_sales_importance,connectivity_importance,ai_features_importance,price_statement_agreement,less_expensive_choice_likelihood,budget_stretch_likelihood,online_review_check_frequency,recommendation_influence,future_same_brand_likelihood,current_brand_satisfaction,previous_brand_experience_importance,purchase_next_12_months,greatest_purchase_driver,desired_improvement
R099,18–24,Male,Student,No personal income,South India,Xiaomi,"Below ₹10,000",More than 4 years,"Below ₹10,000",Online marketplace,3,5,5,3,2,2,3,3,4,5,5,3,4,2,3,3,3,Often,4,2,4,4,5,Recommendations,Better camera quality
R100,55 and above,Female,Professional,"₹25,000–₹49,999",South India,Samsung,"₹30,000–₹49,999",Only when my current phone stops meeting my needs,"₹30,000–₹49,999",Physical electronics store,3,5,5,4,3,4,2,5,3,3,4,4,4,3,4,4,4,Sometimes,4,4,4,4,3,Design,Longer software support
R101,45–54,Female,Retired,"₹75,000–₹99,999",West India,Nothing,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Physical electronics store,4,5,5,4,3,4,3,4,5,4,5,4,3,3,5,5,4,Often,4,4,5,4,4,Online reviews,More durable design
R102,35–44,Male,Salaried employee,"Below ₹25,000",North India,Realme,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,5,3,4,3,4,4,3,3,3,3,4,3,3,4,5,4,Rarely,4,5,5,5,3,Price,Faster charging
R103,18–24,Male,Professional,No personal income,North India,OPPO,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,3,4,4,5,4,3,3,4,4,4,3,3,4,4,2,3,3,Sometimes,3,5,4,4,4,Camera quality,More useful AI features
R104,55 and above,Female,Other,"Below ₹25,000",East India,OnePlus,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,3,4,3,3,4,4,3,3,4,4,5,2,4,3,3,2,5,Often,5,1,4,2,5,Discounts / Offers,Longer software support
R105,35–44,Female,Student,"₹1,50,000 or above",North India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,4,3,4,5,2,5,3,4,4,4,4,3,2,3,5,3,3,Often,4,2,5,4,2,Recommendations,Better camera quality
R106,35–44,Female,Salaried employee,No personal income,North India,Google Pixel,"Below ₹10,000",2–3 years,"Below ₹10,000",Online marketplace,5,5,3,3,4,3,3,2,4,5,4,3,3,3,5,4,4,Always,4,4,3,5,3,Recommendations,Better performance
R107,25–34,Female,Salaried employee,"Below ₹25,000",North India,Samsung,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,4,5,4,4,3,3,4,2,2,3,4,4,3,2,3,4,4,Rarely,4,3,4,4,4,Brand reputation,More durable design
R108,18–24,Female,Student,No personal income,West India,Apple,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Physical electronics store,2,5,4,3,4,4,4,3,2,4,3,5,3,3,2,2,3,Rarely,3,4,4,4,4,After-sales service,Better camera quality
R109,18–24,Female,Self-employed / Business,"Below ₹25,000",Northeast India,Samsung,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Brand showroom,4,4,4,4,3,5,1,3,3,4,4,4,4,3,4,5,4,Rarely,3,5,5,5,3,Storage,Better camera quality
R110,45–54,Male,Salaried employee,"₹50,000–₹74,999",South India,Realme,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Physical electronics store,4,5,4,4,4,3,3,3,4,4,3,4,4,2,5,5,3,Often,4,5,5,4,4,Recommendations,Faster charging
R111,25–34,Female,Salaried employee,"₹25,000–₹49,999",North India,Vivo,"₹30,000–₹49,999",More than 4 years,"₹30,000–₹49,999",Online marketplace,5,2,4,3,4,4,3,4,4,4,3,3,4,4,4,4,2,Sometimes,5,2,5,3,4,Price,Lower prices
R112,18–24,Male,Student,"₹50,000–₹74,999",West India,OPPO,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,3,4,3,5,4,3,3,3,3,5,4,3,4,4,2,2,4,Sometimes,3,1,3,3,4,Recommendations,More durable design
R113,25–34,Female,Student,"₹50,000–₹74,999",North India,Realme,"₹30,000–₹49,999",Less than 1 year,"₹30,000–₹49,999",Online marketplace,3,4,4,4,4,3,4,4,3,3,3,3,3,3,3,4,4,Rarely,3,4,4,5,4,Performance,Better battery life
R114,25–34,Female,Homemaker,"₹1,00,000–₹1,49,999",Northeast India,Samsung,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Online marketplace,4,4,3,4,4,3,3,3,4,4,5,3,3,3,4,5,2,Often,4,4,5,4,2,Discounts / Offers,Better camera quality
R115,18–24,Male,Student,No personal income,East India,Google Pixel,"Below ₹10,000",1–2 years,"Below ₹10,000",Brand showroom,3,4,4,3,3,4,3,3,2,3,4,4,3,3,3,3,4,Rarely,4,2,4,3,4,Brand reputation,Better camera quality
R116,45–54,Female,Salaried employee,"₹1,00,000–₹1,49,999",North India,OnePlus,"₹50,000–₹74,999",Only when my current phone stops meeting my needs,"₹50,000–₹74,999",Online marketplace,3,4,4,4,3,5,3,4,5,5,4,4,3,3,2,2,5,Often,4,4,4,3,5,Recommendations,Longer software support
R117,35–44,Male,Salaried employee,"₹50,000–₹74,999",South India,Vivo,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,3,4,4,3,3,4,3,4,4,5,4,3,3,2,4,4,4,Always,5,4,4,5,4,Recommendations,Faster charging
R118,35–44,Female,Salaried employee,"Below ₹25,000",South India,Apple,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Physical electronics store,5,4,3,3,4,3,4,3,3,3,4,4,3,3,5,3,3,Sometimes,4,3,5,4,2,After-sales service,Lower prices
R119,25–34,Male,Salaried employee,"₹75,000–₹99,999",West India,Nothing,"₹50,000–₹74,999",More than 4 years,"₹50,000–₹74,999",Online marketplace,5,4,2,3,3,5,3,3,5,4,4,3,3,4,3,4,3,Often,4,1,3,3,3,Brand reputation,Lower prices
R120,35–44,Female,Salaried employee,"₹1,00,000–₹1,49,999",North India,Samsung,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Online marketplace,4,4,3,5,4,3,3,5,2,4,4,2,4,1,4,5,4,Sometimes,4,2,3,4,3,Price,Better battery life
R121,25–34,Male,Student,"₹25,000–₹49,999",Central India,Apple,"Below ₹10,000",1–2 years,"Below ₹10,000",Online marketplace,2,5,5,3,4,3,3,4,2,3,4,3,4,3,3,3,3,Never,3,5,5,4,3,Design,Longer software support
R122,35–44,Prefer not to say,Salaried employee,"₹1,50,000 or above",West India,OnePlus,"₹30,000–₹49,999",Less than 1 year,"₹30,000–₹49,999",Brand's official online store,4,5,4,2,3,2,4,3,4,4,5,4,3,3,4,4,4,Rarely,3,3,5,3,3,Discounts / Offers,More useful AI features
R123,18–24,Female,Professional,"₹25,000–₹49,999",Central India,Apple,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Physical electronics store,3,3,4,3,4,4,3,3,2,4,4,4,4,3,3,3,4,Rarely,3,2,4,2,3,Recommendations,Faster charging
R124,25–34,Female,Salaried employee,"₹50,000–₹74,999",Central India,Apple,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Online marketplace,3,5,5,4,4,4,4,4,2,4,4,3,3,3,3,3,4,Rarely,4,5,5,4,5,Display,Better camera quality
R125,18–24,Female,Salaried employee,Prefer not to say,North India,Vivo,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Brand showroom,3,5,5,4,4,5,4,3,5,4,4,4,2,3,3,2,3,Always,4,4,4,5,4,Brand reputation,Longer software support
R126,25–34,Female,Self-employed / Business,"₹25,000–₹49,999",East India,OnePlus,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,5,4,4,4,5,2,3,4,3,4,3,4,3,4,5,5,3,Sometimes,4,4,4,4,2,Price,Better camera quality
R127,25–34,Female,Self-employed / Business,"₹75,000–₹99,999",Central India,Google Pixel,"₹30,000–₹49,999",More than 4 years,"₹30,000–₹49,999",Physical electronics store,2,5,4,4,3,4,3,2,4,4,4,3,4,3,1,3,5,Sometimes,5,4,4,5,4,Connectivity,Better battery life
R128,18–24,Male,Student,"₹25,000–₹49,999",South India,Samsung,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,3,4,4,3,4,3,3,3,3,4,4,2,2,3,2,2,4,Sometimes,5,4,5,4,4,Discounts / Offers,Better battery life
R129,18–24,Female,Salaried employee,"₹75,000–₹99,999",North India,OPPO,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Online marketplace,2,4,4,4,4,4,3,3,3,3,4,4,3,5,1,1,5,Sometimes,5,3,4,5,5,AI / Smart features,Better battery life
R130,25–34,Male,Salaried employee,"₹50,000–₹74,999",North India,OnePlus,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Physical electronics store,4,4,5,3,4,2,4,3,4,5,4,4,4,3,3,3,4,Often,4,4,5,4,4,Recommendations,Better camera quality
R131,18–24,Female,Salaried employee,"Below ₹25,000",North India,Vivo,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Online marketplace,2,5,4,3,3,4,3,3,4,3,3,4,3,5,3,2,4,Sometimes,4,5,5,5,3,Discounts / Offers,Faster charging
R132,55 and above,Male,Professional,"₹25,000–₹49,999",Central India,Vivo,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand's official online store,4,5,4,3,3,4,3,3,5,4,3,4,3,3,3,3,5,Sometimes,5,5,5,4,3,Online reviews,Better camera quality
R133,25–34,Female,Salaried employee,"₹25,000–₹49,999",South India,Xiaomi,"₹10,000–₹19,999",3–4 years,"₹10,000–₹19,999",Physical electronics store,4,3,5,3,3,3,3,3,3,4,4,4,3,4,3,3,2,Sometimes,4,2,5,5,4,Performance,Faster charging
R134,25–34,Female,Self-employed / Business,No personal income,West India,Nothing,"₹10,000–₹19,999",More than 4 years,"₹10,000–₹19,999",Online marketplace,2,4,3,4,3,4,3,4,2,5,4,4,4,4,3,4,4,Sometimes,4,4,5,5,3,AI / Smart features,Better after-sales service
R135,25–34,Male,Professional,No personal income,Northeast India,Samsung,"Below ₹10,000",2–3 years,"Below ₹10,000",Physical electronics store,4,4,4,4,3,3,5,4,2,3,4,3,3,3,4,4,5,Rarely,4,5,5,4,4,Design,Better performance
R136,18–24,Female,Salaried employee,"₹25,000–₹49,999",North India,Apple,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Brand showroom,3,5,4,4,3,3,3,4,2,3,5,5,3,3,3,3,5,Never,4,5,4,5,4,Brand reputation,Lower prices
R137,55 and above,Female,Homemaker,No personal income,West India,Vivo,"Below ₹10,000",1–2 years,"Below ₹10,000",Physical electronics store,5,4,2,3,3,3,3,3,4,3,4,4,4,2,4,5,4,Sometimes,3,2,4,5,2,Online reviews,Faster charging
R138,25–34,Female,Salaried employee,"Below ₹25,000",North India,Motorola,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,5,3,4,4,2,4,4,4,4,4,3,4,3,4,4,4,Sometimes,4,3,5,3,3,Recommendations,Better battery life
R139,35–44,Male,Professional,"₹75,000–₹99,999",North India,Apple,"₹20,000–₹29,999",More than 4 years,"₹20,000–₹29,999",Physical electronics store,2,4,3,2,4,4,3,4,2,3,5,3,3,4,3,3,4,Rarely,4,4,4,4,5,Discounts / Offers,Lower prices
R140,18–24,Female,Salaried employee,"₹75,000–₹99,999",North India,OnePlus,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,4,Sometimes,3,5,5,5,3,After-sales service,Better performance
R141,25–34,Female,Salaried employee,"₹75,000–₹99,999",North India,Motorola,"₹75,000–₹99,999",3–4 years,"₹75,000–₹99,999",Physical electronics store,5,4,4,4,4,3,3,4,3,2,4,2,4,3,4,4,4,Sometimes,4,1,3,4,3,Price,More durable design
R142,25–34,Male,Salaried employee,"₹25,000–₹49,999",South India,OPPO,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Physical electronics store,4,5,4,4,3,4,3,4,1,4,4,4,3,3,4,4,3,Never,3,3,4,4,5,Design,More durable design
R143,55 and above,Male,Student,"₹1,00,000–₹1,49,999",South India,Nothing,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Physical electronics store,1,5,5,4,3,3,3,3,2,3,4,3,2,3,2,3,5,Rarely,3,3,5,3,5,Performance,More durable design
R144,25–34,Male,Salaried employee,"₹50,000–₹74,999",North India,Xiaomi,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,4,3,3,4,4,2,4,5,3,2,4,3,4,5,4,5,Sometimes,4,3,4,5,2,AI / Smart features,Longer software support
R145,25–34,Female,Homemaker,"Below ₹25,000",North India,Vivo,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,3,4,4,3,4,3,3,4,2,5,3,3,2,3,3,2,4,Sometimes,4,2,5,3,5,Battery life,Better performance
R146,18–24,Male,Salaried employee,"Below ₹25,000",West India,Samsung,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,3,4,3,3,3,4,3,3,3,4,3,4,3,5,5,2,Rarely,3,1,2,3,3,Performance,More durable design
R147,25–34,Female,Student,"₹75,000–₹99,999",North India,Google Pixel,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,3,3,3,4,4,4,5,3,3,4,4,3,4,3,4,4,3,Sometimes,3,4,5,5,4,Camera quality,More durable design
R148,25–34,Female,Salaried employee,"Below ₹25,000",West India,OnePlus,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,5,5,4,4,3,3,3,4,4,4,4,3,3,4,4,3,4,Often,4,4,4,4,3,Price,Lower prices
R149,25–34,Male,Student,"₹50,000–₹74,999",Northeast India,OPPO,"₹50,000–₹74,999",3–4 years,"₹50,000–₹74,999",Brand's official online store,4,5,3,3,3,5,2,4,5,5,5,5,3,4,3,4,4,Often,3,3,4,3,3,Online reviews,More useful AI features
R150,18–24,Female,Student,Prefer not to say,West India,OnePlus,"₹50,000–₹74,999",1–2 years,"₹50,000–₹74,999",Online marketplace,3,5,5,3,4,3,3,3,3,4,4,4,2,2,3,4,5,Sometimes,4,5,5,4,5,Performance,More durable design
R151,45–54,Female,Homemaker,No personal income,East India,Xiaomi,"Below ₹10,000",More than 4 years,"Below ₹10,000",Physical electronics store,4,4,3,3,5,3,5,3,3,3,3,4,3,3,4,5,3,Sometimes,4,3,4,4,3,Display,Better performance
R152,45–54,Male,Salaried employee,No personal income,West India,OPPO,"Below ₹10,000",1–2 years,"Below ₹10,000",Brand showroom,4,5,5,3,4,4,4,4,3,3,4,3,4,2,3,3,5,Rarely,4,4,5,4,5,Brand reputation,Better battery life
R153,18–24,Male,Salaried employee,Prefer not to say,West India,Xiaomi,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,3,5,4,3,4,4,3,2,4,4,4,4,5,3,4,3,4,Sometimes,4,3,5,4,4,Storage,Better camera quality
R154,25–34,Male,Salaried employee,"₹50,000–₹74,999",Northeast India,Google Pixel,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,5,5,4,3,2,4,4,3,3,4,4,4,4,4,5,4,3,Sometimes,4,5,5,3,3,Camera quality,Faster charging
R155,18–24,Male,Student,"Below ₹25,000",Northeast India,OnePlus,"Below ₹10,000",2–3 years,"Below ₹10,000",Brand's official online store,3,4,4,3,2,4,3,3,3,4,4,3,3,2,2,3,4,Often,3,3,4,5,4,Storage,Better battery life
R156,35–44,Male,Salaried employee,"₹1,00,000–₹1,49,999",South India,Vivo,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Online marketplace,3,4,4,3,4,3,2,4,3,5,5,3,3,2,2,3,3,Sometimes,4,4,5,5,5,Recommendations,Lower prices
R157,18–24,Female,Self-employed / Business,"₹1,00,000–₹1,49,999",East India,Samsung,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Online marketplace,2,4,4,3,3,3,3,5,5,4,2,2,3,3,3,2,5,Often,5,3,4,4,4,Design,Better performance
R158,35–44,Male,Salaried employee,"₹50,000–₹74,999",West India,OnePlus,"₹50,000–₹74,999",Only when my current phone stops meeting my needs,"₹50,000–₹74,999",Physical electronics store,2,5,4,3,3,3,3,3,4,4,3,4,5,3,3,2,4,Sometimes,4,4,4,5,5,Connectivity,More durable design
R159,35–44,Male,Retired,"₹50,000–₹74,999",North India,OnePlus,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Other,2,4,4,4,4,3,2,3,4,5,4,5,3,3,2,1,5,Often,4,2,4,4,5,Recommendations,More durable design
R160,35–44,Female,Salaried employee,"₹25,000–₹49,999",East India,Apple,"₹75,000–₹99,999",2–3 years,"₹75,000–₹99,999",Physical electronics store,4,5,3,3,4,3,2,1,4,5,4,3,5,3,4,5,3,Often,5,3,4,4,3,Recommendations,Faster charging
R161,18–24,Female,Salaried employee,No personal income,West India,Apple,"Below ₹10,000",2–3 years,"Below ₹10,000",Brand showroom,4,5,4,4,4,4,3,3,2,4,5,2,4,4,5,4,2,Rarely,5,4,5,4,4,Performance,Lower prices
R162,45–54,Female,Self-employed / Business,"₹50,000–₹74,999",West India,Vivo,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Other,5,5,3,4,4,4,3,3,3,3,5,4,2,1,5,5,3,Never,4,5,4,5,3,Brand reputation,Better battery life
R163,18–24,Female,Homemaker,"₹25,000–₹49,999",South India,Vivo,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,2,5,5,3,4,3,4,3,5,3,3,3,3,4,2,1,5,Always,3,5,4,4,4,Online reviews,Longer software support
R164,18–24,Male,Self-employed / Business,"₹50,000–₹74,999",North India,Vivo,"₹75,000–₹99,999",1–2 years,"₹75,000–₹99,999",Brand's official online store,4,4,4,3,4,2,2,4,3,3,4,3,3,3,5,4,3,Sometimes,4,4,5,4,3,Battery life,Better camera quality
R165,25–34,Male,Retired,"₹1,00,000–₹1,49,999",North India,Apple,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,5,4,5,4,4,4,4,4,3,4,4,4,3,4,5,5,3,Never,5,5,5,3,4,Price,Better performance
R166,25–34,Prefer not to say,Professional,No personal income,East India,Samsung,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Other,3,4,4,3,4,3,2,4,2,4,4,4,3,2,3,3,4,Rarely,4,5,5,4,3,After-sales service,More useful AI features
R167,45–54,Female,Professional,"₹50,000–₹74,999",Central India,Samsung,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Online marketplace,4,5,4,4,3,3,4,3,4,4,4,3,5,3,3,4,4,Often,3,4,4,4,4,Brand reputation,Better performance
R168,45–54,Prefer not to say,Student,"Below ₹25,000",Central India,Realme,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Online marketplace,2,3,3,4,5,3,2,4,3,5,3,3,3,3,1,3,5,Sometimes,4,1,3,3,4,Design,Longer software support
R169,25–34,Male,Self-employed / Business,"₹1,00,000–₹1,49,999",South India,Motorola,"₹50,000–₹74,999",More than 4 years,"₹50,000–₹74,999",Physical electronics store,3,4,4,3,4,2,3,4,3,3,4,3,4,4,4,4,4,Sometimes,3,4,3,5,4,Discounts / Offers,Longer software support
R170,55 and above,Female,Salaried employee,"₹25,000–₹49,999",North India,Samsung,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,2,2,4,4,4,4,4,3,5,4,4,3,4,1,3,3,5,Always,5,1,4,5,4,Camera quality,More durable design
R171,18–24,Female,Salaried employee,"₹50,000–₹74,999",West India,Vivo,"₹75,000–₹99,999",1–2 years,"₹75,000–₹99,999",Physical electronics store,4,5,5,4,4,3,4,2,4,4,3,3,3,3,1,4,4,Rarely,3,5,5,5,4,Recommendations,Lower prices
R172,25–34,Male,Salaried employee,"₹50,000–₹74,999",West India,Apple,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,1,5,4,4,5,4,4,3,3,3,3,3,3,2,2,2,4,Rarely,4,3,5,5,3,Battery life,Better performance
R173,18–24,Female,Retired,"₹25,000–₹49,999",East India,Samsung,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Other,4,5,5,3,4,3,4,4,2,5,3,4,3,4,5,4,3,Sometimes,3,5,4,5,5,Recommendations,Better battery life
R174,55 and above,Female,Retired,"₹50,000–₹74,999",South India,Apple,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Brand showroom,4,5,4,3,3,4,3,5,4,5,5,3,3,3,3,5,3,Sometimes,4,2,4,5,3,Discounts / Offers,Longer software support
R175,18–24,Male,Salaried employee,"₹75,000–₹99,999",North India,Samsung,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Online marketplace,2,4,5,4,5,4,3,3,4,4,4,2,4,4,3,3,4,Sometimes,5,1,3,5,4,Battery life,Better camera quality
R176,18–24,Male,Self-employed / Business,"₹50,000–₹74,999",West India,Vivo,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Physical electronics store,2,4,4,4,3,4,3,3,4,5,4,4,4,3,1,3,5,Often,4,4,4,5,4,Recommendations,Better performance
R177,25–34,Female,Self-employed / Business,"₹75,000–₹99,999",East India,Google Pixel,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,1,4,5,3,4,4,2,3,4,3,3,2,4,4,2,1,5,Sometimes,4,3,4,5,4,Performance,Faster charging
R178,55 and above,Male,Salaried employee,Prefer not to say,South India,Samsung,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Brand's official online store,4,4,4,4,3,4,2,4,4,4,5,3,4,4,3,3,4,Sometimes,3,1,4,4,5,Discounts / Offers,Better battery life
R179,45–54,Male,Student,"₹25,000–₹49,999",Central India,Xiaomi,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Brand's official online store,3,5,3,4,4,4,4,2,3,4,3,3,4,1,2,3,2,Sometimes,3,3,5,4,4,Display,Better performance
R180,35–44,Male,Student,"₹50,000–₹74,999",West India,OPPO,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,1,5,3,3,3,3,3,4,4,3,4,3,3,3,2,3,5,Sometimes,3,5,5,5,4,AI / Smart features,Better battery life
R181,45–54,Male,Self-employed / Business,No personal income,Northeast India,Nothing,"₹10,000–₹19,999",2–3 years,"₹10,000–₹19,999",Online marketplace,4,4,5,4,4,5,4,4,3,4,5,4,3,3,5,4,3,Sometimes,4,3,5,5,4,Performance,Better camera quality
R182,45–54,Female,Salaried employee,"₹75,000–₹99,999",South India,Vivo,"₹30,000–₹49,999",Only when my current phone stops meeting my needs,"₹30,000–₹49,999",Online marketplace,4,5,4,5,4,3,2,4,3,3,3,4,3,3,3,4,5,Sometimes,5,5,5,4,4,Brand reputation,Better battery life
R183,25–34,Female,Retired,"₹50,000–₹74,999",South India,Samsung,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Physical electronics store,3,4,4,4,5,3,4,3,5,5,3,3,3,2,3,3,4,Often,4,4,4,4,4,Online reviews,Better battery life
R184,25–34,Male,Salaried employee,"₹25,000–₹49,999",Northeast India,Vivo,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Brand's official online store,3,5,5,4,5,3,3,4,4,5,4,4,4,4,3,4,4,Sometimes,5,5,4,3,4,Recommendations,More useful AI features
R185,35–44,Other,Retired,No personal income,Northeast India,Samsung,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Online marketplace,4,4,4,3,4,4,4,4,4,4,5,4,3,2,3,5,2,Sometimes,3,3,5,5,4,Storage,More useful AI features
R186,35–44,Female,Salaried employee,"₹1,00,000–₹1,49,999",Northeast India,Nothing,"₹1,00,000 or above",2–3 years,"₹1,00,000 or above",Online marketplace,5,4,5,2,4,3,4,3,2,2,4,2,3,3,4,3,4,Rarely,3,2,3,3,4,Price,Faster charging
R187,25–34,Male,Professional,"₹25,000–₹49,999",West India,OnePlus,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,4,5,3,2,3,4,4,5,4,3,5,5,3,3,4,4,3,Sometimes,3,4,5,4,3,Discounts / Offers,Longer software support
R188,18–24,Female,Student,"₹50,000–₹74,999",South India,Vivo,"₹20,000–₹29,999",2–3 years,"₹20,000–₹29,999",Physical electronics store,4,5,4,4,4,3,3,3,3,4,5,2,2,4,4,3,3,Sometimes,4,4,5,5,4,Discounts / Offers,Faster charging
R189,35–44,Male,Salaried employee,"Below ₹25,000",North India,Apple,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,2,4,4,3,4,2,3,4,3,4,4,4,3,2,1,2,4,Sometimes,5,3,4,4,4,Battery life,Better after-sales service
R190,18–24,Other,Professional,Prefer not to say,South India,OnePlus,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Online marketplace,3,4,3,3,3,3,3,2,5,2,3,4,2,3,2,3,5,Always,3,4,4,5,3,Online reviews,Better performance
R191,55 and above,Female,Homemaker,"Below ₹25,000",Northeast India,Motorola,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Brand showroom,4,4,4,3,4,3,3,4,3,5,5,4,3,3,3,5,4,Sometimes,3,3,5,3,4,Discounts / Offers,Better battery life
R192,18–24,Female,Professional,"Below ₹25,000",South India,Vivo,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,2,4,4,4,3,2,3,5,4,4,3,3,3,4,2,3,5,Sometimes,5,5,5,5,3,Design,Longer software support
R193,18–24,Male,Student,"₹1,00,000–₹1,49,999",West India,OnePlus,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Physical electronics store,4,4,4,3,4,3,3,4,3,4,5,4,3,5,4,5,3,Often,3,2,4,5,3,Performance,More useful AI features
R194,45–54,Female,Salaried employee,"₹1,50,000 or above",Northeast India,Google Pixel,"₹50,000–₹74,999",3–4 years,"₹50,000–₹74,999",Online marketplace,4,5,5,3,3,4,2,4,5,5,4,2,4,2,3,3,4,Sometimes,4,4,5,4,4,Performance,Better camera quality
R195,18–24,Male,Student,"Below ₹25,000",Northeast India,Motorola,"₹10,000–₹19,999",More than 4 years,"₹10,000–₹19,999",Physical electronics store,4,4,4,5,4,4,2,4,4,4,2,3,4,3,3,5,3,Always,5,4,5,5,3,Camera quality,Lower prices
R196,18–24,Male,Student,"₹25,000–₹49,999",Northeast India,Samsung,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Physical electronics store,4,4,4,3,5,4,2,3,4,3,4,3,3,2,4,4,4,Sometimes,4,4,4,3,4,Battery life,Lower prices
R197,25–34,Male,Self-employed / Business,"₹75,000–₹99,999",East India,Xiaomi,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Brand showroom,1,4,4,4,4,2,3,4,4,4,4,3,3,4,1,1,5,Sometimes,4,4,5,4,4,Recommendations,Lower prices
R198,45–54,Female,Self-employed / Business,"₹1,00,000–₹1,49,999",South India,Xiaomi,"₹20,000–₹29,999",Only when my current phone stops meeting my needs,"₹20,000–₹29,999",Online marketplace,5,5,4,3,5,3,4,3,3,5,4,4,4,2,4,4,4,Rarely,5,1,4,5,3,Recommendations,Faster charging
